15,2026-08-26 09:58:00,38,412,0,0,1
16,2026-08-26 09:58:23,51,248,0,0,1
17,2026-08-26 09:58:31,58,363,0,0,1
18,2026-08-26 09:57:53,33,1008,0,0,1
19,2026-08-26 09:59:14,96,11,0,0,1
20,2026-08-26 09:59:13,94,63,0,0,1
21,2026-08-26 09:59:18,100,14,0,0,1
22,2026-08-26 09:58:43,68,525,0,0,1
23,2026-08-26 09:59:19,103,19,0,1,1
24,2026-08-26 09:59:32,120,56,0,0,1
25,2026-08-26 09:59:20,106,428,1,0,1
26,2026-08-26 09:59:44,131,237,0,0,1
27,2026-08-26 09:59:52,141,202,0,0,1
28,2026-08-26 09:59:54,144,259,0,1,1
29,2026-08-26 10:00:19,181,44,0,0,1
30,2026-08-26 10:00:17,170,89,0,0,1
31,2026-08-26 10:00:27,187,98,0,0,1
32,2026-08-26 10:00:36,192,79,0,0,1
33,2026-08-26 10:00:27,188,244,0,0,1
34,2026-08-26 10:01:02,209,17,0,0,1
35,2026-08-26 10:01:05,212,17,0,0,1
36,2026-08-26 10:01:07,216,27,0,0,1
37,2026-08-26 10:01:15,219,89,0,0,1
38,2026-08-26 10:01:33,231,53,0,0,1
39,2026-08-26 10:01:40,236,378,0,0,1
40,2026-08-26 09:58:39,64,3121,0,1,1
41,2026-08-26 09:59:52,142,2071,0,0,1
42,2026-08-26 10:01:26,224,656,0,0,1
1,2026-08-31 14:42:20,3,30,0,0,1
2,2026-08-31 14:42:16,1,223,0,0,1
3,2026-08-31 14:42:27,4,212,0,0,1
